,Dataset,Category,HeadLines
446,bbc dataset,politics,بھارتی فورسز کی کارروائی میں کشمیری فوٹو جرنلسٹ کی آنکھ ضائع
447,bbc dataset,politics,بھمبر سیکٹر میں لائن آف کنٹرول پر فائرنگ کا تبادلہ
448,bbc dataset,politics,بھوک کے شکار ملکوں میں پاکستان گیارہویں نمبر پر
449,bbc dataset,politics,بی جے پی کے لیے دیوبند کا نام تبدیل کرنا کتنا آسان ہے؟
450,bbc dataset,politics,تحریک انصاف کی ساری توجہ پنجاب پر
451,bbc dataset,politics,تحقیقات ہوں گی کہ طیارہ ایک انجن پر کیوں نہ اُڑ سکا اعظم سہگل
452,bbc dataset,politics,ترانے کا احترام امریکی کھلاڑی کا ایک بار پھر احتجاج
453,bbc dataset,politics,ترک سفارتکار ’سوئٹزرلینڈ میں پناہ کے خواہش مند‘
454,bbc dataset,politics,ترکی اور اسرائیل میں گیس کی پینگیں
455,bbc dataset,politics,ترکی صدر کےاختیارات میں اضافے کے لیے ریفرنڈم کا اعلان
456,bbc dataset,politics,ترکی میں بچوں کے ریپ سے متعلق قانون کے خلاف مظاہرے
457,bbc dataset,politics,ترکی میں چیک پوسٹ پر کار بم دھماکہ، دس فوجیوں سمیت 18 ہلاک
458,bbc dataset,politics,تلور کے شکار کے بعد قطری شکاریوں کی واپسی
459,bbc dataset,politics,تمام غیر ریاستی عناصر کے خلاف کارروائی کا مطالبہ
460,bbc dataset,politics,تنزانیہ کے سوشل میڈیا صدر اتنے مقبول کیوں؟
461,bbc dataset,politics,توہینِ مذہب کا ملزم اردنی مصنف عدالت کے باہر قتل
462,bbc dataset,politics,تین جامعات کے وائس چانسلرز کی معطلی کا حکم
463,bbc dataset,politics,جائیں تو جائیں کہاں؟
464,bbc dataset,politics,جائے حادثہ کے مقام پر آگ کے شعلے
465,bbc dataset,politics,جانان، غنی خان اور پشتون شناخت
466,bbc dataset,politics,جاپانی وزیراعظم پرل ہاربر میں، متاثرین سے اظہارِ ہمدردی  
467,bbc dataset,politics,جاپانی وزیراعظم پرل ہاربر کے دورے کے لیے ہوائی میں
468,bbc dataset,politics,جب پناہ گاہیں ہی جال بن جائیں
469,bbc dataset,politics,جرمنی انتہائی دائیں بازو کے کارکن کے گھر چھاپے میں پولیس اہلکار ہلاک
470,bbc dataset,politics,جرمنی میں پناہ گزینوں سے متعلق نرم پالیسی غیر مقبول
471,bbc dataset,politics,جسم میں چھرے، زندگی میں گہری مایوسی
472,bbc dataset,politics,جسٹس میاں ثاقب نثار چیف جسٹس آف پاکستان بن گئے
473,bbc dataset,politics,جماعت الدعوۃ کے سربراہ حافظ سعید کی نظر بندی قومی مفاد میں کیا گیا فیصلہ ہے پاکستانی فوج
474,bbc dataset,politics,جنرل راحیل شریف بحیثیت آرمی چیف کیسے تھے؟
475,bbc dataset,politics,جنرل راحیل شریف کی کامیابیاں اور ناکامیاں
476,bbc dataset,politics,جنرل قمر جاوید باجوہ پاکستان کی بری فوج کے سربراہ کا عہدہ منگل کو سنبھال لیں گے
477,bbc dataset,politics,جنرل قمر جاوید باجوہ پاکستان کی بری فوج کے نئے سربراہ
478,bbc dataset,politics,جنوبی کوریا میں سیلاب سے متاثرہ علاقے میں کم از کم سات افراد ہلاک ہو گئے ہیں
479,bbc dataset,politics,جنوبی کوریا کی صدر کے خلاف مظاہروں کا سلسلہ جاری
480,bbc dataset,politics,جنگ سے پہلے امن کے بہت سے راستے ہیں
481,bbc dataset,politics,جنگ گروپ کے مغوی ڈائریکٹر اسلام آباد سے برآمد
482,bbc dataset,politics,جنگی جرائم اسلامی رہنما کا رحم کی اپیل کرنے سے انکار
483,bbc dataset,politics,جنگی جرائم کا الزام بیان بازی ہے پوتن
484,bbc dataset,politics,جوابی کارروائی کا بڑھتا دباؤ اور امکانات
485,bbc dataset,politics,جکارتہ میں’ توہین مذہب‘ پر گورنر کے خلاف ہزاروں افراد کا احتجاج
486,bbc dataset,politics,جھنگ میں ضمنی انتخابات
487,bbc dataset,politics,جھنگوی کی جیت میں کون سے عوامل؟
488,bbc dataset,politics,جیت کے بعد امریکہ کے نو منتخب صدر ڈونلڈ ٹرمپ کی تقریر
489,bbc dataset,politics,حافظ سعید نظر بند، جماعت الدعوۃ واچ لسٹ میں شامل 
490,bbc dataset,politics,حریت رہنماؤں کا پارلیمانی وفد سے ملنے سے انکار
491,bbc dataset,politics,حلب جنگ سے پہلے اور بعد میں
492,bbc dataset,politics,حلب شامی فوج کی پیش قدمی، محصورین کی نقل مکانی
493,bbc dataset,politics,حلب شہر جہاں چھت کھیتوں میں بدل گئے
494,bbc dataset,politics,حلب میں باغیوں کے خلاف آپریشن ’آخری مرحلے میں‘
495,bbc dataset,politics,حلب میں جنگ بندی،’باغیوں کے لیے آخری موقع‘
496,bbc dataset,politics,حلب میں روسی اور شامی بمباری کا شکار
497,bbc dataset,politics,حلب میں سرکاری فوج کی پیشقدمی،انسانی بحران کا خدشہ
498,bbc dataset,politics,حلب میں فضائی حملوں سے حالات انتہائي تشویشناک  
499,bbc dataset,politics,حلب پر بمباری امدادی کارروائیوں کے لیے معطل روس
500,bbc dataset,politics,حلب کے شہری امن کے منتظر
501,bbc dataset,politics,حکمران جماعت کی شکست، پاناما بل بحث کے لیے منظور 
502,bbc dataset,politics,حکومت پنجاب کا لاہور شہر کو محفوظ بنانے کا جدید منصوبہ
503,bbc dataset,politics,خواتین ممبر پارلیمان کے ساتھ جنسی بدسلوکی عام ہے رپورٹ
504,bbc dataset,politics,خواتین کا تنخواہ میں اضافے کا مطالبہ ان سنا
505,bbc dataset,politics,خواتین کی منفی تصویر کا ذمہ دار کون؟ 
506,bbc dataset,politics,خواتین کے بارے میں نازیبا بیان پر ڈونلڈ ٹرمپ کی معافی
507,bbc dataset,politics,خواجہ سراؤں کو بنیادی حقوق کی عدم فراہمی کی درخواست پر نوٹس جاری
508,bbc dataset,politics,خواجہ سراؤں کے حقوق کی آگاہی کا پہلا ریڈیو شو 
509,bbc dataset,politics,خون اور پانی ساتھ ساتھ نہیں بہہ سکتے مودی
510,bbc dataset,politics,دست درازی کا الزام جھوٹا ہے ٹرمپ
511,bbc dataset,politics,دو کروڑ سے زائد پاکستانی بچے سکولوں سے باہر
512,bbc dataset,politics,دوتیرتے، فلپائن کے ’ڈونلڈ ٹرمپ‘ 
513,bbc dataset,politics,دوسرے روز 11 ہزار افغان اور 350 پاکستانی وطن واپس
514,bbc dataset,politics,دولت اسلامیہ نے 40 لاشیں کھمبوں سے لٹکا دیں اقوام متحدہ
515,bbc dataset,politics,دولت اسلامیہ کو اسلحہ کہاں سے ملتا ہے؟
516,bbc dataset,politics,دولتِ اسلامیہ سے’تعلق‘ پر جرمن اہلکار گرفتار
517,bbc dataset,politics,دہشت گردی کو کسی ایک ملک سے نہیں جوڑا جا سکتا چین
518,bbc dataset,politics,دہشتگردی اور بات چیت ساتھ ساتھ جاری نہیں رہ سکتے انڈیا
519,bbc dataset,politics,دہشتگردی کی ’حقیقت سے فرار ‘
520,bbc dataset,politics,راولپنڈی میں ریلی کی کال اور کنٹینرز
521,bbc dataset,politics,راک سٹار گیمز کے خلاف لنزی لوہان کی اپیل مسترد
522,bbc dataset,politics,راہل گاندھی اور اکھیلیش یادو پہلی بار ایک ساتھ
523,bbc dataset,politics,راہُل گاندھی اور کانگریس کے ٹوئٹر اکاونٹ ہیک
524,bbc dataset,politics,رحامی سے نیویارک میں دھماکے کی تفتیش
525,bbc dataset,politics,رحیم یار خان بسوں کے تصادم میں 30 افراد ہلاک،60 سے زائد زخمی
526,bbc dataset,politics,روزی کی خاطر ایرانی کردوں کا خطرناک اور دشوار گزار سفر
527,bbc dataset,politics,روس اور مغرب کے تعلقات میں خرابی شروع کہاں سے ہوئی؟
528,bbc dataset,politics,روس حلب کے لیے محفوظ راستے دینے کو تیار
529,bbc dataset,politics,روس طیارہ حادثہ لاشوں کی تلاش کے لیے آپریشن جاری
530,bbc dataset,politics,روس نے اپنا دفاعی میزائل نظام شام بھیجنے کی تصدیق کر دی
531,bbc dataset,politics,روس چرچ میں گیم کھیلنے والا بلاگر جیل میں 
532,bbc dataset,politics,روس کسی سے لڑائی نہیں چاہتا ولادی میر پوتن
533,bbc dataset,politics,روسی صدر پوتن نے شام کے معاملے پر اختلاف پر فرانس کا دورہ مؤخر کر دیا
534,bbc dataset,politics,رومانیہ مسلمان خاتون امیدوار مسترد
535,bbc dataset,politics,روہنگیا کے خلاف جرائم کی تحقیقاتی رپورٹ ملتوی
536,bbc dataset,politics,رینجرز کی کارروائی میں تین شدت پسند ہلاک 
537,bbc dataset,politics,ریپبلکن قیادت ڈونلڈ ٹرمپ کی حمایت کرنا بند کرے اوباما
538,bbc dataset,politics,زرداری کا الیکشن لڑنے، بلاول کا لانگ مارچ کرنے کا اعلان
539,bbc dataset,politics,سائبریا اور دیگر ممالک سے پاکستان آنے والے مہمان پرندے شکاریوں کے نشان پر ہیں
540,bbc dataset,politics,سائیبر حملہ ’ریاست کی معاونت‘ سے ہوا یاہو
541,bbc dataset,politics,سامعہ قتل کیس مقتولہ کی بہن اور والدہ اشتہاری قرار
542,bbc dataset,politics,سانحہ بلدیہ میں مطلوب شخص بینکاک سے گرفتار
543,bbc dataset,politics,ساڈھے سادے میاں صاحب !
544,bbc dataset,politics,سرل المائڈا کا نام ’ای سی ایل‘ پر کیوں ڈالا گیا؟
545,bbc dataset,politics,سری نگر کا خاموش کیفے
546,bbc dataset,politics,سری نگر کے مضافاتی علاقے میں نامعلوم افراد نے دو گاڑیوں کو نذر آتش کر دیا
547,bbc dataset,politics,سرینگر مارچ ناکام بنانے کے لیے جامع مسجد پھر مقفل
548,bbc dataset,politics,سرینگر میں فورسز پر فائرنگ سے ایک اہلکار ہلاک، آٹھ زخمی
549,bbc dataset,politics,سرینگر میں کشمیری بچے کی ہلاکت کے بعد کشیدگی میں اضافہ
550,bbc dataset,politics,سعودی بلاگرکو پھر سےکوڑے مارنے کی تیاری
551,bbc dataset,politics,سعودی عرب تنخواہ کم، غیر ضروری ملازمتوں پر پابندی
552,bbc dataset,politics,سعودی عرب سے معاملات طے پا گئے، ایرانی حج کر سکیں گے
553,bbc dataset,politics,سعودی عرب کی نائن الیون حملوں کے بل پر تشویش
554,bbc dataset,politics,سعودی عرب کی ویزا فیس میں سات گنا اضافہ
555,bbc dataset,politics,سلمان تاثیر کی برسی پر حملہ کرنے والوں کی سزا برقرار
556,bbc dataset,politics,سندھ پولیس سے ہیوسٹن پولیس تک
557,bbc dataset,politics,سنگاپور تعلیمی درجہ بندی میں سرِ فہرست
558,bbc dataset,politics,سوشلستان ’سب مودی کے ایجنٹ ہیں‘
559,bbc dataset,politics,سویڈن سے شدت پسند شام اور عراق جا رہے ہیں
560,bbc dataset,politics,سپریم کورٹ بار ایسوسی ایشن کے انتخابات، فاروق ایچ نائیک میدان میں آگئے
561,bbc dataset,politics,سپریم کورٹ میں آسیہ بی بی کی اپیل پر اگلے ہفتے سماعت کا آغاز ہو گا
562,bbc dataset,politics,سپریم کورٹ کے جج کا آسیہ بی بی کی اپیل سننے سے انکار
563,bbc dataset,politics,سپیس ایکس راکٹ دھماکے سے تباہ
564,bbc dataset,politics,سکاٹ لینڈ کی آزادی کا دوسرا ریفرینڈم ممکن
565,bbc dataset,politics,سی پیک گیم چینجر یا ہوائی قلعہ؟
566,bbc dataset,politics,سینیٹ کے ڈپٹی چیئرمین کے ویزے میں تاخیر ’کسی بھی امریکی وفد کو خوش آمدید نہیں کہیں گے‘
567,bbc dataset,politics,سیکس ورکر کہنے پر میلانیا ٹرمپ کا مقدمہ
568,bbc dataset,politics,شام روس نے حلب پر پھر بمباری شروع کر دی
569,bbc dataset,politics,شام میں بیرل سے تباہی نہیں، توانائی
570,bbc dataset,politics,شام میں حلب شہر میں شامی فوج کی پیش قدمی جاری ہے
571,bbc dataset,politics,شام کردوں کی شادی کی تقریب پر خودکش حملے میں 30 ہلاک
572,bbc dataset,politics,شام کی فاطمہ کے لیے جرمنی میں امید کی کرن
573,bbc dataset,politics,شام کےحکومتی علاقوں میں دھماکے، 40 ہلاک
574,bbc dataset,politics,شام ’حلب کے قدیم علاقے پر حکومتی فوج کا کنٹرول بحال`
575,bbc dataset,politics,شامروسی فضائیہ کی غیر معینہ مدت تک تعیناتی کی توثیق
576,bbc dataset,politics,شامی جنگ جیتنے کے لیے حلب پر قبضہ ضروری ہے اسد
577,bbc dataset,politics,شامی شہر حلب میں ہسپتال پر ایک بار پھر’ فضائی بمباری‘
578,bbc dataset,politics,شامی فوج پر ادلیب میں کلورین بم گرانے کا الزام
579,bbc dataset,politics,شامی فوجیوں پر فضائی حملہ غلطیوں کی وجہ سے ہوا امریکہ
580,bbc dataset,politics,شاہی حمام کی بحالی پر ایوارڈ 
581,bbc dataset,politics,شدت پسند مبلغ انجم چوہدری کو ساڑھے پانچ سال کی سزا
582,bbc dataset,politics,شمالی علاقہ جات سے پنجاب کے میدانی علاقوں میں سفر کرنے والے خانہ بدوشوں کی زندگی پر نظر
583,bbc dataset,politics,شمالی کوریا نے 500 کلومیٹر دور مار کرنے والے بیلسٹک میزائل کا تجربہ کیا ہے
584,bbc dataset,politics,شمالی کوریا کا راکٹ انجن کا ’کامیاب‘ تجربہ 
585,bbc dataset,politics,شمالی کوریا کے گول کیپر اور مینیجر پر جرمانہ اور پابندی
586,bbc dataset,politics,شمالی کیرولائینا میں ریپبلکن پارٹی کے دفتر پر آتش گیر مادے سے حملہ
587,bbc dataset,politics,شورش کی وجہ سے کشمیر میں کیفے کا کاروبار متاثر
588,bbc dataset,politics,صحافی کا نام ای سی ایل میں صحافتی اور انسانی حقوق کی تنظیموں کی مذمت
589,bbc dataset,politics,صحافی کے ساتھ بدسلوکی کی آیف آئی آر درج
590,bbc dataset,politics,صحافیوں کی رہنمائی کے لیے ویب سائٹ اور ہندی اردو لغت
591,bbc dataset,politics,صدارتی انتخاب کے نتائج کا اعلان، کہیں جشن تو کہیں آنسو
592,bbc dataset,politics,صدام حسین کا محل میوزیم میں تبدیل
593,bbc dataset,politics,صدر اوباما کو ملنے والے قیمتی تحائف
594,bbc dataset,politics,صدر اور وزیرِ اعظم کے دفاتر کے اخراجات میں کروڑوں کا اضافہ
595,bbc dataset,politics,صدر محمود عباس تین روزہ دورے پر اسلام آباد پہنچ گئے
596,bbc dataset,politics,صدر پارک گن ہے کے خلاف مواخذے کی تحریک منظور
597,bbc dataset,politics,صوبہ پنجاب ورکنگ باؤنڈری کے قریب دیہات سے نقل مکانی
598,bbc dataset,politics,صومالیہ میں کار بم دھماکہ، کم از کم 11 ہلاک
599,bbc dataset,politics,طالبان کے سابق کمانڈر ’اپنے ساتھی کی گولی‘ سے ہلاک
600,bbc dataset,politics,عراق بدعنوانی کے خلاف مہم چلانے والی خاتون صحافی اغوا
601,bbc dataset,politics,عراق میں دولت اسلامیہ کے آخری گڑھ کی جانب پیش قدمی جاری
602,bbc dataset,politics,عراق میں ٹرک بم دھماکہ، شیعہ زائرین سمیت 80 ہلاک
603,bbc dataset,politics,عراقی افواج کی موصل کی طرف پیش قدمی جاری
604,bbc dataset,politics,عراقی ریلویز کے تاج کا ہیرا
605,bbc dataset,politics,عراقی شہر موصل کو دولت اسلامیہ سے آزاد کرانے کے لیے آپریشن کا آغاز
606,bbc dataset,politics,عراقی فوج موصل میں داخل ہونے میں کامیاب
607,bbc dataset,politics,عراقی فوج کی موصل کے لیے جنگ
608,bbc dataset,politics,عراقی فوج کے حملے سے قبل موصل سے سینکڑوں شہری فرار
609,bbc dataset,politics,عراقی قصبوں میں داعش کی سرنگیں
610,bbc dataset,politics,عمران خان کی 30 اکتوبر کے بجائے دو نومبر کو اسلام آباد بند کرنے کی کال
611,bbc dataset,politics,عمران خان کی وزیرِ اعظم نواز شریف کو محرم تک کی مہلت
612,bbc dataset,politics,غداری کے جرم میں فاروق ستار کی بنیادی رکنیت ختم ایم کیو ایم لندن
613,bbc dataset,politics,غیرت کے نام پر قتل اور ریپ کے بارے میں قوانین منظور
614,bbc dataset,politics,غیرت کے نام پر قتل روکنے کے لیے کوشش ناکافی
615,bbc dataset,politics,فاٹا اصلاحات کی تجاويز، خواتین نظرانداز 
616,bbc dataset,politics,فرانس حضرت مریم کا مجسمہ ہٹانے کا حکم
617,bbc dataset,politics,فرانس میں پناہ گزینوں کے ’جنگل‘ میں پھنسے بچے
618,bbc dataset,politics,فلسطینی مسئلے کا دو ریاستی حل ہے کیا؟
619,bbc dataset,politics,فلوریڈا مسجد میں بنے پولنگ سٹیشن کی منسوخی پر تنازع
620,bbc dataset,politics,فلپائن کے صدر کے نازیبا الفاظ، اوباما سے ملاقات منسوخ
621,bbc dataset,politics,فلپائن کے میئر پولیس کے ہاتھوں جیل میں ہلاک
622,bbc dataset,politics,فلپائنی صدر دوتیرتے کے بیان پر یہودی رہنماؤں کا شدید ردِ عمل
623,bbc dataset,politics,فٹبال لیکس ’رونالڈو نے لاکھوں ڈالر ٹیکس بچایا‘
624,bbc dataset,politics,فیدل کاسترو کے انتقال پر سوگ اور جشن
625,bbc dataset,politics,قتل و غیرت تین برس میں 2000 سے زیادہ خواتین نام نہاد غیرت کے نام پر قتل
626,bbc dataset,politics,قتل و غیرت کی اصل وجہ، عورت کو کنٹرول کرنے کی خواہش
627,bbc dataset,politics,قتل و غیرت ’انا کی جنگ میں جیت پچھتاوے کی‘
628,bbc dataset,politics,قتل و غیرت ’بس اب بہت ہو گیا‘
629,bbc dataset,politics,قتل کے مجرم سعودی شہزادے کو سزائے موت دے دی گئی
630,bbc dataset,politics,قندہار میں حکام نے پاکستانی ٹرکوں پر پانچ ہزار افغانی بطور کارگو چارجز عائد کر دیے
631,bbc dataset,politics,قومی اسمبلی میں الطاف حسین کے خلاف قرارداد منظور
632,bbc dataset,politics,لائن آف کنٹرول اور ورکنگ باؤنڈری کے دونوں جانب آبادی کی نقل مکانی
633,bbc dataset,politics,لائن آف کنٹرول پر دوبارہ فائرنگ، اسلام آباد میں پارلیمانی جماعتوں کا اجلاس جاری
634,bbc dataset,politics,لائن آف کنٹرول پر فائرنگ، شہری پریشان
635,bbc dataset,politics,لائن آف کنٹرول پرغیر یقینی صورتحال کا شکار
636,bbc dataset,politics,لائن آف کنٹرول کی صورت حال پر اہم اجلاس
637,bbc dataset,politics,لاہور میں ’نیو پی پی پی کا جنم‘
638,bbc dataset,politics,لاہور گرفتاریوں کا خدشہ، درخواست فل بنچ سنے گا
639,bbc dataset,politics,لیبیا کے شہر سرت میں دولت اسلامیہ کو شکست کا سامنا
640,bbc dataset,politics,لیکس، جھوٹ اور دیومالائی کہانیاں‘
641,bbc dataset,politics,مالٹا میں ہم جنس پرستی کے 'علاج' پر پابندی
642,bbc dataset,politics,متاثرین گھر واپسی کے بجائے نئی ڈیڈ لائن
643,bbc dataset,politics,متنازع بیان پر خواتین کے ساتھ پریکٹس کی سزا
644,bbc dataset,politics,متنوع آبی حیات سے مالامال گوادر
645,bbc dataset,politics,محرم الحرام کی مناسبت سے نعرے، فیفا نے ایران پر جرمانہ عائد کر دیا
646,bbc dataset,politics,محرم کا سوگ اور دسہرا، بین المذاہب ہم آہنگی کی مثال
647,bbc dataset,politics,محصور کشمیریوں کے لیے چند گھنٹوں کی نرمی
648,bbc dataset,politics,مذہبی نفرتوں کے لیے ٹرمپ کو الزام نہ دیں
649,bbc dataset,politics,مردان خودکش حملے میں 12 ہلاک، پشاور میں حملہ ناکام
650,bbc dataset,politics,مزار شریف میں جرمن قونصل خانے پر حملے میں دو افراد ہلاک، متعدد زخمی
651,bbc dataset,politics,مسئلہ کشمیر  کی صنعت 
652,bbc dataset,politics,مستونگ میں باپ،بیٹے سمیت تین سکیورٹی اہلکار ہلاک
653,bbc dataset,politics,مستونگ میں تعمیراتی منصوبے پر حملہ، دو مزدور ہلاک
654,bbc dataset,politics,مسجد میں پولنگ سٹیشن پر مسلمانوں کے احتجاج کے بعد سٹیشن ختم
655,bbc dataset,politics,مسلم خواتین کی برابری کی مخالفت کیوں؟
656,bbc dataset,politics,مسلمان ووٹر اس بار کیوں زیادہ ووٹ ڈالیں گے؟
657,bbc dataset,politics,مسیحی جوڑے کا قتل پانچ افراد کو سزائے موت کا حکم
658,bbc dataset,politics,مشرقِ وسطیٰ 2016 میں بھی سلگتا رہا
659,bbc dataset,politics,مطالبات نہ مانے تو گو نثار گو کی جگہ گو نواز گو ہوگا بلاول بھٹو
660,bbc dataset,politics,معاشی ماہر لیکن غیر متحرک سیاستدان
661,bbc dataset,politics,مغربی بنگال میں کچھ جگہوں پر فوجیوں کی تعیناتی کیوں ایک سیاسی تنازع بن گیا؟
662,bbc dataset,politics,مغربی روٹ کو چین پاک اقتصادی راہداری منصوبے میں شامل کیا جائے قرارداد
663,bbc dataset,politics,مقامی امریکی متنازع پائپ لائن کا کام رکنے پر خوش
664,bbc dataset,politics,ملاقات کے چند ’ناخوشگوار‘ لمحات
665,bbc dataset,politics,ملانیا ٹرمپ اپنے ٹوئٹر اکاؤنٹ کی روشنی میں
666,bbc dataset,politics,ملک کا اگلا وزیراعظم بنوں گا بلاول بھٹو زرداری
667,bbc dataset,politics,منی لانڈرنگ کیس میں ایم کیوایم کے سربراہ الطاف حسین کے خلاف الزام واپس لینے پر تجزیہ
668,bbc dataset,politics,مودی اسرائیلی فوج سے متاثر کیوں؟
669,bbc dataset,politics,مودی حکومت نے انڈیا میں پانچ سو اور ایک ہزار کی مالیت والے نوٹ ختم کرنے کا اعلان کیا ہے۔
670,bbc dataset,politics,مودی نے رازداری کیسے برتی؟
671,bbc dataset,politics,مودی کو سب سے کڑے امتحان کا سامنا
672,bbc dataset,politics,موصل میں دولتِ اسلامیہ کی مزاحمت جاری
673,bbc dataset,politics,موصل کی آزادی کا معرکہ شروع
674,bbc dataset,politics,موصل کی جنگ کا حقیقی فاتح ایران ہوگا ڈونلڈ ٹرمپ
675,bbc dataset,politics,موصل کی جنگ، داعش کی دفاعی پوزیشن
676,bbc dataset,politics,مولانا محمد احمد لدھیانوی ضمنی انتخابات کے لیے نااہل لاہور ہائی کورٹ
677,bbc dataset,politics,مولانا مسرور جھنگوی پنجاب اسمبلی کے رکن منتخب
678,bbc dataset,politics,موٹروے پر جنگی طیاروں کی مشقیں
679,bbc dataset,politics,مچھ کے قریب ریلوے ٹریک پر ہونے والے دھماکے میں چھ افراد ہلاک
680,bbc dataset,politics,مہمند ایجنسی میں حملہ دو ایف سی اہلکار ہلاک                                            
681,bbc dataset,politics,میاں ثاقب نثار سپریم کورٹ کے چیف جسٹس مقرر
682,bbc dataset,politics,میرے خاوند شریف انسان ہیں میلانیا ٹرمپ
683,bbc dataset,politics,میٹنگ میں جھگڑا، برطانوی دائیں بازو کی جماعت کے رہنما ہسپتال منتقل
684,bbc dataset,politics,نئے ایئر فورس ون کا آرڈر منسوخ کیا جائے ٹرمپ
685,bbc dataset,politics,نائجیریا کے صدر کو اپنی ہی بیوی کی تنبیہ
686,bbc dataset,politics,نااہلی ریفرنس میں عمران خان کو پیش ہونے کا حکم
687,bbc dataset,politics,نازیبا گفتگو اہم رہنماؤں کا ٹرمپ کی حمایت نہ کرنے کا اعلان
688,bbc dataset,politics,نواز شریف پختونوں کے ساتھ وعدہ خلافی کر رہے ہیں اسفندیار ولی
689,bbc dataset,politics,نواز شریف کو مزید مہلت، عمران خان کو نوٹس جاری
690,bbc dataset,politics,نوبیل انعام یافتہ30 برس تک نظرانداز کیوں؟
691,bbc dataset,politics,نومنتخب صدر ڈونلڈ ٹرمپ کے حامیوں نے ووٹوں کی دوبارہ گنتی کو چیلنج کر دیا
692,bbc dataset,politics,نوٹ بندی مودی کے اپنے بھی دور ہونے لگے
693,bbc dataset,politics,نوٹوں پر پابندی بھاری تو نہیں پڑ گئی؟ 
694,bbc dataset,politics,نوٹوں کو تبدیل کرانے کی دوڑ
695,bbc dataset,politics,نوٹوں کی منسوخی کمائی کا سنہری موقع
696,bbc dataset,politics,نکولا بن یحیٰ کا انیں سالہ بیٹا دولت اسلامیہ کے ہمراہ لڑتا ہوا مارا گیا ہے۔
697,bbc dataset,politics,نہرو یونیورسٹی میں مودی کا پتلا جلانے کی تحقیقات کا حکم
698,bbc dataset,politics,نیلم کا پانی بھی چناب کی طرح خون رنگ 
699,bbc dataset,politics,نیویارک میں ڈونلڈ ٹرمپ کے خلاف بڑا مظاہرہ
700,bbc dataset,politics,نیویارک کے ٹیکسی ڈرائیور اور صدارتی الیکشن
701,bbc dataset,politics,وادیِ نیلم میں شدید فائرنگ
702,bbc dataset,politics,واشنگٹن ڈی سی میں کیپیٹل ہل کے نزدیک بیرل بار کو خفیہ ’ٹرمپ بار‘ بھی کہتے ہیں۔
703,bbc dataset,politics,واہگہ میں پرچم اتارنے کی روایتی تقریب کے دوران ’بدمزگی‘
704,bbc dataset,politics,ورکنگ باؤنڈری اور ایل او سی پر مزید چھ شہریوں کی ہلاکت، پاکستان کا انڈیا سے احتجاج
705,bbc dataset,politics,ورکنگ باؤنڈری پر فائرنگ سے تین پاکستانی شہری ہلاک
706,bbc dataset,politics,ورکنگ باؤنڈری پر فائرنگ سے متعدد افراد زخمی
707,bbc dataset,politics,ورکنگ باؤنڈری پر پاکستانی دیہاتی رات کو نقل مکانی پر مجبور
708,bbc dataset,politics,وزیر اعلیٰ پنجاب اور وزرا کی آرمی چیف سے ملاقات، المائڈا کی خبر کی تحقیقات سے آگاہ کیا
709,bbc dataset,politics,وزیرِ اعظم نواز شریف کی نااہلی کا ریفرنس مسترد
710,bbc dataset,politics,وسکانسن میں دوبارہ ووٹوں کی گنتی کا مطالبہ فراڈ ہے ڈونلڈ ٹرمپ
711,bbc dataset,politics,وفاقی وزیر خواجہ آصف بھی جعلی خبر کا شکار
712,bbc dataset,politics,ولندیزی مصور وان گوخ کی چوری شدہ تصاویر اٹلی سے برآمد
713,bbc dataset,politics,وکلا پر حملوں کے خلاف پاکستان بھر میں عدالتوں کا بائیکاٹ
714,bbc dataset,politics,وہ شامی بچے جنھوں نے کبھی امن نہیں دیکھا
715,bbc dataset,politics,ٹرمپ کا تائیوان سے رابطہ امریکی پالیسی سے انحراف
716,bbc dataset,politics,ٹرمپ کا صدمہ کیسے برداشت کیا جائے؟
717,bbc dataset,politics,ٹرمپ کا ’پرامن‘ اور ’ذہین‘ جواب دینا ہوگا لیڈی گاگا
718,bbc dataset,politics,ٹرمپ کی جیت پینسلوینیا میں دوبارہ گنتی کی درخواست واپس
719,bbc dataset,politics,ٹرمپ کی فتح سے پریشان کون، خوش کون؟
720,bbc dataset,politics,ٹرمپ کی کابینہ کی پہلی خواتین اراکین نامزد
721,bbc dataset,politics,ٹرمپ کی کال بیجنگ کے لیے حیران کن
722,bbc dataset,politics,ٹرمپ کے احکامات، گوگل نے عملہ واپس بلا لیا
723,bbc dataset,politics,ٹرمپ کے خلاف مزاحمت کی علامت
724,bbc dataset,politics,ٹرمپ کے خلاف مزید خواتین کا دست درازی کا الزام
725,bbc dataset,politics,ٹرمپ کے علاوہ کون جیتا، کون ہارا
726,bbc dataset,politics,ٹرمپ کے وعدے
727,bbc dataset,politics,پارلیمان پرحملہ، عمران اور قادری کے وارنٹ گرفتاری برقرار
728,bbc dataset,politics,پارلیمانی جماعتوں کا کشمیر سے متعلق مشترکہ کوششوں پر اتفاق
729,bbc dataset,politics,پاناما لیکس نواز شریف کو نوٹس جاری، دھرنا روکنے کی درخواست مسترد
730,bbc dataset,politics,پاناما لیکس وزیراعظم کا الیکشن کمیشن میں جواب دائر
731,bbc dataset,politics,پاناما لیکس کا معاملہ سپریم کورٹ کا لارجر بینچ سنے گا
732,bbc dataset,politics,پاناما لیکس کمیشن مسئلہ ایک بِل دو 
